dsm_dem,ndvi_re,slope,l,K,resource,twi,ic,rain,CID
0.0071882,0.482566,0.382669,0.0860094,0.947189,0.0029685,0.203297,0.24033,0.93009,0
0.0811223,0.58782,0.571334,0.1403545,0.585014,0.0030323,0.144925,0.322723,0.434415,0
0.0133924,0.469089,0.270703,0.180706,0.334961,0.0030832,0.222196,0.423379,0.520445,1
0.0885251,0.758764,0.455845,0.1372899,0.0915633,0.0031087,0.25449,0.25048,0.667802,0
0.0000277,0.614312,0.250902,0.0881245,0.40533,0.003131,0.248093,0.288478,0.200654,0
0.0107397,0.439006,0.492847,0.0870645,0.119426,0.0031469,0.267682,0.250793,0.571976,0
0.008176,0.589569,0.320964,0.093336,0.615049,0.0032329,0.168637,0.310993,0.341029,0
0,0.330856,0.46204,0.1273941,0.139426,0.0032616,0.374185,0.327816,0.667927,1
0.0007147,0.746363,0.428691,0.0891682,0.631592,0.0032775,0.198821,0.248657,0.844173,0
0.0802365,0.797325,0.142947,0.1364134,0.585014,0.0032934,0.236411,0.306812,0.373116,0
0.1156658,0.497013,0.480142,0.1373345,0.585014,0.0033157,0.203977,0.284915,0.524037,0
0.0870564,0.643414,0.120675,0.1515241,0.199831,0.0033412,0.237618,0.336396,0.895869,0
0.000153,0.328828,0.238349,0.161226,0.605014,0.0033922,0.178689,0.5099,0.392721,1
0.0413956,0.655136,0.53194,0.0897586,0.38425,0.0033954,0.232069,0.268534,0.8289,0
0.081429,0.558318,0.528376,0.1351456,0.010083,0.0034336,0.181528,0.275906,0.870911,0
0.0034094,0.398599,0.348845,0.0896359,0.314961,0.0034463,0.16565,0.264617,0.716393,0
0.007513,0.495848,0.622332,0.0805927,0.219831,0.0034686,0.20768,0.323597,0.913686,1
0.0809269,0.639485,0.471366,0.2428168,0.085014,0.0035674,0.166277,0.347502,0.465183,0
0,0.538455,0.498556,0.0855208,0.947189,0.0036502,0.273047,0.249859,0.899965,0
0.0075363,0.647952,0.304961,0.0850726,0.631592,0.0036534,0.223542,0.238544,0.83337,0
0.0025565,0.566213,0.568676,0.0786453,0.605014,0.0037011,0.348241,0.382141,0.450725,1
0.0003611,0.719371,0.417062,0.0837393,0.651592,0.0037903,0.216524,0.33184,0.960038,1
0.033608,0.390011,0.0214774,0.415368,0.314437,0.0038094,0.251446,0.460451,0.147917,1
0.0324922,0.625675,0.375957,0.0877025,0.314961,0.0039113,0.195441,0.248314,0.644241,0
0.0007746,0.404604,0.512824,0.119762,0.334961,0.0039942,0.170406,0.390949,0.535813,1
0.0273861,0.563183,0.43502,0.0871123,0.631592,0.0040037,0.157123,0.244581,0.866125,0
0.0247855,0.370154,0.399863,0.0880988,0.119426,0.004026,0.160505,0.239291,0.635168,0
0.0035238,0.406934,0.380485,0.377476,0.865978,0.0041566,0.182967,0.448597,0.699058,1
0,0.634829,0.178275,0.0939936,0.631592,0.0041757,0.329109,0.29292,0.829666,0
0.0282178,0.635577,0.338152,0.0866303,0.0915633,0.0043095,0.207874,0.259002,0.851216,0
0.0139222,0.442938,0.422784,0.0914032,0.314961,0.0043127,0.305411,0.279606,0.406875,0
0.0200955,0.521281,0.426022,0.0860541,0.667692,0.004319,0.252192,0.246688,0.986258,0
0.0202728,0.391396,0.489531,0.0935925,0.330882,0.0043573,0.15202,0.296153,0.700107,0
0.0007807,0.601893,0.382583,0.0591783,0.605014,0.004421,0.259921,0.323133,0.48573,0
0.0070157,0.524731,0.514599,0.0896893,0.615049,0.0044337,0.319172,0.278889,0.389701,0
0.0812336,0.603618,0.12006,0.1379949,0.585014,0.0044369,0.251172,0.311817,0.501469,0
0.001759,0.322302,0.360542,0.1057848,0.139426,0.0044401,0.276619,0.211138,0.579617,1
0.1150822,0.799348,0.729965,0.1354759,0.585014,0.0045229,0.128187,0.299444,0.50119,0
0.0014571,0.25915,0.458993,0.1283013,0.139426,0.0045993,0.216509,0.240741,0.635956,1
0.0901222,0.56197,0.306305,0.1367235,0.210083,0.0046949,0.203389,0.248424,0.91603,0
0.0007147,0.564566,0.20997,0.0877011,0.38425,0.0046949,0.182774,0.270714,0.866532,0
0.0102906,0.497083,0.519673,0.0904139,0.119426,0.0047013,0.16977,0.240142,0.665748,0
0.0136258,0.517757,0.367298,0.0849424,0.631592,0.0047459,0.25796,0.253992,0.894433,0
0.0007147,0.654958,0.129209,0.0903122,0.38425,0.0048255,0.218402,0.324107,0.827785,0
0.0004741,0.532417,0.128849,0.0890006,0.845978,0.0048382,0.197939,0.302269,0.581717,0
0.0246581,0.543134,0.554973,0.0863488,0.314961,0.0048987,0.193635,0.255384,0.614793,0
0.0232524,0.654208,0.472054,0.0907005,0.615049,0.0049147,0.349577,0.295512,0.403941,0
0.0043336,0.293894,0.3726,0.0911136,0.119426,0.004937,0.204307,0.22642,0.577258,0
0.0232548,0.524518,0.226956,0.0894468,0.667692,0.0049433,0.212846,0.287394,0.98254,0
0.0014016,0.449387,0.170541,0.1271086,0.294437,0.0049561,0.34502,0.3795,0.125726,0
0.0005747,0.294408,0.481444,0.1052267,0.139426,0.0049561,0.185339,0.399345,0.522767,1
0,0.597028,0.411427,0.0867223,0.314961,0.0049593,0.271562,0.256349,0.640877,0
0.0293782,0.550619,0.575676,0.0869622,0.845978,0.0050548,0.191675,0.274902,0.469783,0
0.0361991,0.578414,0.431249,0.0875974,0.38425,0.0052173,0.219126,0.254645,0.804905,0
0.0230528,0.667636,0.499793,0.0907841,0.687692,0.0052173,0.151067,0.362152,1.006269,1
0.004934,0.405567,0.306134,0.1292384,0.139426,0.0052173,0.403815,0.37909,0.510175,1
0.0804504,0.593892,0.0285987,0.1407863,0.085014,0.0052396,0.222949,0.32406,0.424538,0
0.1032404,0.464776,0.524096,0.1352712,0.210083,0.0053192,0.149358,0.253733,0.881401,0
0.0062332,0.570618,0.2264,0.0865114,0.845978,0.0053415,0.180357,0.24291,0.785326,0
